# filename,time,alignment_error,fits_error,lowflux_comp1,lowflux_comp2,lowflux_comp3,lowflux_comp4,lowflux_comp5,lowflux_comp6,lowflux_target,outofframe_comp1,outofframe_comp2,outofframe_comp3,outofframe_comp4,outofframe_comp5,outofframe_comp6,outofframe_target,skybg_comp1,skybg_comp2,skybg_comp3,skybg_comp4,skybg_comp5,skybg_comp6,skybg_target
"/content/drive/My Drive/TRES-3b-20170418/MOBS_Cecilia_TRES-3_2017-04-18T22_51_41.792-0700_53ec0f316f2785c25e654b6ad2fa4798_TRES-3170419064812.FITS.gz",2457862.7861245642,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"/content/drive/My Drive/TRES-3b-20170418/MOBS_Cecilia_TRES-3_2017-04-18T22_51_41.792-0700_53ec0f316f2785c25e654b6ad2fa4798_TRES-3170419065112.FITS.gz",2457862.788206978,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"/content/drive/My Drive/TRES-3b-20170418/MOBS_Cecilia_TRES-3_2017-04-18T22_51_41.792-0700_53ec0f316f2785c25e654b6ad2fa4798_TRES-3170419065412.FITS.gz",2457862.7902884074,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"/content/drive/My Drive/TRES-3b-20170418/MOBS_Cecilia_TRES-3_2017-04-18T22_51_41.792-0700_53ec0f316f2785c25e654b6ad2fa4798_TRES-3170419065712.FITS.gz",2457862.7923713187,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"/content/drive/My Drive/TRES-3b-20170418/MOBS_Cecilia_TRES-3_2017-04-18T22_51_41.792-0700_53ec0f316f2785c25e654b6ad2fa4798_TRES-3170419070012.FITS.gz",2457862.794454797,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"/content/drive/My Drive/TRES-3b-20170418/MOBS_Cecilia_TRES-3_2017-04-18T22_51_41.792-0700_53ec0f316f2785c25e654b6ad2fa4798_TRES-3170419070312.FITS.gz",2457862.7965355786,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"/content/drive/My Drive/TRES-3b-20170418/MOBS_Cecilia_TRES-3_2017-04-18T22_51_41.792-0700_53ec0f316f2785c25e654b6ad2fa4798_TRES-3170419070612.FITS.gz",2457862.7986162673,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"/content/drive/My Drive/TRES-3b-20170418/MOBS_Cecilia_TRES-3_2017-04-18T22_51_41.792-0700_53ec0f316f2785c25e654b6ad2fa4798_TRES-3170419070912.FITS.gz",2457862.800709561,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"/content/drive/My Drive/TRES-3b-20170418/MOBS_Cecilia_TRES-3_2017-04-18T22_51_41.792-0700_53ec0f316f2785c25e654b6ad2fa4798_TRES-3170419071212.FITS.gz",2457862.8027901226,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"/content/drive/My Drive/TRES-3b-20170418/MOBS_Cecilia_TRES-3_2017-04-18T22_51_41.792-0700_53ec0f316f2785c25e654b6ad2fa4798_TRES-3170419071512.FITS.gz",2457862.8048717026,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"/content/drive/My Drive/TRES-3b-20170418/MOBS_Cecilia_TRES-3_2017-04-18T22_51_41.792-0700_53ec0f316f2785c25e654b6ad2fa4798_TRES-3170419071812.FITS.gz",2457862.8069525305,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"/content/drive/My Drive/TRES-3b-20170418/MOBS_Cecilia_TRES-3_2017-04-18T22_51_41.792-0700_53ec0f316f2785c25e654b6ad2fa4798_TRES-3170419072112.FITS.gz",2457862.809033624,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"/content/drive/My Drive/TRES-3b-20170418/MOBS_Cecilia_TRES-3_2017-04-18T22_51_41.792-0700_53ec0f316f2785c25e654b6ad2fa4798_TRES-3170419072412.FITS.gz",2457862.811126119,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"/content/drive/My Drive/TRES-3b-20170418/MOBS_Cecilia_TRES-3_2017-04-18T22_51_41.792-0700_53ec0f316f2785c25e654b6ad2fa4798_TRES-3170419072712.FITS.gz",2457862.8132071206,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"/content/drive/My Drive/TRES-3b-20170418/MOBS_Cecilia_TRES-3_2017-04-18T22_51_41.792-0700_53ec0f316f2785c25e654b6ad2fa4798_TRES-3170419073012.FITS.gz",2457862.815289395,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"/content/drive/My Drive/TRES-3b-20170418/MOBS_Cecilia_TRES-3_2017-04-18T22_51_41.792-0700_53ec0f316f2785c25e654b6ad2fa4798_TRES-3170419073312.FITS.gz",2457862.8173705232,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"/content/drive/My Drive/TRES-3b-20170418/MOBS_Cecilia_TRES-3_2017-04-18T22_51_41.792-0700_53ec0f316f2785c25e654b6ad2fa4798_TRES-3170419073612.FITS.gz",2457862.8194518606,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"/content/drive/My Drive/TRES-3b-20170418/MOBS_Cecilia_TRES-3_2017-04-18T22_51_41.792-0700_53ec0f316f2785c25e654b6ad2fa4798_TRES-3170419073912.FITS.gz",2457862.821532966,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"/content/drive/My Drive/TRES-3b-20170418/MOBS_Cecilia_TRES-3_2017-04-18T22_51_41.792-0700_53ec0f316f2785c25e654b6ad2fa4798_TRES-3170419074212.FITS.gz",2457862.8236260857,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"/content/drive/My Drive/TRES-3b-20170418/MOBS_Cecilia_TRES-3_2017-04-18T22_51_41.792-0700_53ec0f316f2785c25e654b6ad2fa4798_TRES-3170419074512.FITS.gz",2457862.825707411,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"/content/drive/My Drive/TRES-3b-20170418/MOBS_Cecilia_TRES-3_2017-04-18T22_51_41.792-0700_53ec0f316f2785c25e654b6ad2fa4798_TRES-3170419074812.FITS.gz",2457862.827788493,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"/content/drive/My Drive/TRES-3b-20170418/MOBS_Cecilia_TRES-3_2017-04-18T22_51_41.792-0700_53ec0f316f2785c25e654b6ad2fa4798_TRES-3170419075112.FITS.gz",2457862.8298696913,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"/content/drive/My Drive/TRES-3b-20170418/MOBS_Cecilia_TRES-3_2017-04-18T22_51_41.792-0700_53ec0f316f2785c25e654b6ad2fa4798_TRES-3170419075412.FITS.gz",2457862.831950889,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"/content/drive/My Drive/TRES-3b-20170418/MOBS_Cecilia_TRES-3_2017-04-18T22_51_41.792-0700_53ec0f316f2785c25e654b6ad2fa4798_TRES-3170419075712.FITS.gz",2457862.834044136,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"/content/drive/My Drive/TRES-3b-20170418/MOBS_Cecilia_TRES-3_2017-04-18T22_51_41.792-0700_53ec0f316f2785c25e654b6ad2fa4798_TRES-3170419080012.FITS.gz",2457862.836124663,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"/content/drive/My Drive/TRES-3b-20170418/MOBS_Cecilia_TRES-3_2017-04-18T22_51_41.792-0700_53ec0f316f2785c25e654b6ad2fa4798_TRES-3170419080313.FITS.gz",2457862.838217134,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"/content/drive/My Drive/TRES-3b-20170418/MOBS_Cecilia_TRES-3_2017-04-18T22_51_41.792-0700_53ec0f316f2785c25e654b6ad2fa4798_TRES-3170419080612.FITS.gz",2457862.8402870237,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"/content/drive/My Drive/TRES-3b-20170418/MOBS_Cecilia_TRES-3_2017-04-18T22_51_41.792-0700_53ec0f316f2785c25e654b6ad2fa4798_TRES-3170419080912.FITS.gz",2457862.8423684994,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"/content/drive/My Drive/TRES-3b-20170418/MOBS_Cecilia_TRES-3_2017-04-18T22_51_41.792-0700_53ec0f316f2785c25e654b6ad2fa4798_TRES-3170419081212.FITS.gz",2457862.8444613875,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"/content/drive/My Drive/TRES-3b-20170418/MOBS_Cecilia_TRES-3_2017-04-18T22_51_41.792-0700_53ec0f316f2785c25e654b6ad2fa4798_TRES-3170419081512.FITS.gz",2457862.846544159,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"/content/drive/My Drive/TRES-3b-20170418/MOBS_Cecilia_TRES-3_2017-04-18T22_51_41.792-0700_53ec0f316f2785c25e654b6ad2fa4798_TRES-3170419081812.FITS.gz",2457862.8486251254,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"/content/drive/My Drive/TRES-3b-20170418/MOBS_Cecilia_TRES-3_2017-04-18T22_51_41.792-0700_53ec0f316f2785c25e654b6ad2fa4798_TRES-3170419082112.FITS.gz",2457862.8507058946,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"/content/drive/My Drive/TRES-3b-20170418/MOBS_Cecilia_TRES-3_2017-04-18T22_51_41.792-0700_53ec0f316f2785c25e654b6ad2fa4798_TRES-3170419082412.FITS.gz",2457862.852787347,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"/content/drive/My Drive/TRES-3b-20170418/MOBS_Cecilia_TRES-3_2017-04-18T22_51_41.792-0700_53ec0f316f2785c25e654b6ad2fa4798_TRES-3170419082712.FITS.gz",2457862.8548682905,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"/content/drive/My Drive/TRES-3b-20170418/MOBS_Cecilia_TRES-3_2017-04-18T22_51_41.792-0700_53ec0f316f2785c25e654b6ad2fa4798_TRES-3170419083012.FITS.gz",2457862.856961803,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"/content/drive/My Drive/TRES-3b-20170418/MOBS_Cecilia_TRES-3_2017-04-18T22_51_41.792-0700_53ec0f316f2785c25e654b6ad2fa4798_TRES-3170419083312.FITS.gz",2457862.8590432326,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"/content/drive/My Drive/TRES-3b-20170418/MOBS_Cecilia_TRES-3_2017-04-18T22_51_41.792-0700_53ec0f316f2785c25e654b6ad2fa4798_TRES-3170419083612.FITS.gz",2457862.8611243377,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
