# FINAL TIMESERIES OF TrES-3 b
# BJD_TDB,Orbital Phase,Flux,Uncertainty,Model,Airmass
2457862.746874366, -0.06143893669541112, 1.005850711127498, 0.017859653710074506, 1.0, 0.8469686539402164
2457862.7486237567, -0.06009962493777235, 0.9950107906660808, 0.017856585146544736, 1.0, 0.8519503645173615
2457862.7507065637, -0.05850505383243021, 1.0040443722775771, 0.017853075995897364, 1.0, 0.8576843374577309
2457862.7527900888, -0.05690993299717775, 1.0238921217133616, 0.017849722605121486, 1.0, 0.8632009183458506
2457862.754874285, -0.055314298438967596, 1.0265908607686371, 0.01784650955875301, 1.0, 0.8685208865137327
2457862.7569575435, -0.05371938152427849, 1.0060984922653273, 0.01784343407855486, 1.0, 0.8736446952441467
2457862.7590406286, -0.05212459758576096, 0.9827665641034885, 0.0178404878933769, 1.0, 0.878582277343355
2457862.761124408, -0.050529282099061656, 0.9876190473024066, 0.01783765842504988, 1.0, 0.8833512922832202
2457862.763208384, -0.04893381581096673, 0.989462516467699, 0.017834944025835176, 1.0, 0.8879514041509813
2457862.765291307, -0.04733915593600871, 0.9803828197927211, 0.017832338169019326, 1.0, 0.8923907682845168
2457862.7673744964, -0.045744292140487336, 1.0091911018078104, 0.01782983044621392, 1.0, 0.8966845229165818
2457862.7694577314, -0.04414939340752677, 0.9665684140935836, 0.017827424179006752, 1.0, 0.9008245571636969
2457862.771541303, -0.042554236921826166, 0.9859681708726841, 0.017825105593075017, 1.0, 0.9048323477745919
2457862.7736245845, -0.04095930253841748, 1.0237354696049865, 0.01782287421000107, 1.0, 0.9087067359324265
2457862.7757077855, -0.03936442983028407, 0.9920670627213495, 0.017820725519789568, 1.0, 0.9124536824627929
2457862.777790778, -0.03776971683615832, 1.0111181532211677, 0.01781865174119834, 1.0, 0.9160850778533408
2457862.7798756915, -0.036173532904542366, 1.0277302515627436, 0.017816656253839224, 1.0, 0.9195934222167675
2457862.7819589386, -0.0345786249024653, 1.0137339343720322, 0.017814731679575684, 1.0, 0.9229901935039186
2457862.78404112, -0.03298453258264164, 1.0040724394565426, 0.017812871403840413, 1.0, 0.9262857566401731
2457862.7861245642, -0.03138947377916895, 1.0093995200544592, 0.017811078740877923, 1.0, 0.9294730007071854
2457862.788206978, -0.02979520392011356, 0.9913345426484734, 0.017809344405558394, 1.0, 0.9325672858049031
2457862.7902884074, -0.02820168735502737, 0.9890072284947389, 0.017807668773050213, 1.0, 0.9355669085301302
2457862.7923713187, -0.026607036392681388, 0.9666225801215083, 0.01780605196170376, 1.0, 0.938470647680592
2457862.794454797, -0.02501195120787708, 1.0092958755657502, 0.017804485853892257, 1.0, 0.9412921701290515
2457862.7965355786, -0.023418930897028983, 0.9911687415305188, 0.017802981299271464, 0.9998367308698036, 0.9440110213073795
2457862.7986162673, -0.021825981530572663, 1.0221243102235824, 0.01780151759723951, 0.9984890582711444, 0.9466638060623123
2457862.800709561, -0.020223381944309587, 0.9889993736740819, 0.017800091061970273, 0.9963217084837116, 0.9492566142119312
2457862.8027901226, -0.018630529903576692, 0.993995877659901, 0.017798719346376064, 0.9936540075385255, 0.9517566783571062
2457862.8048717026, -0.017036898187543004, 0.9878520026594335, 0.01779739064449027, 0.9906755502110035, 0.9541848087106888
2457862.8069525305, -0.015443842226246757, 0.9673860212465489, 0.01779611194397491, 0.9875559981467, 0.9565275852934692
2457862.809033624, -0.013850583057396143, 0.989191340924116, 0.017794863890098447, 0.9844359245847635, 0.9588199223208729
2457862.811126119, -0.01224859487631863, 1.0012304530821743, 0.017793649864785713, 0.9814229452818906, 0.9610551837791463
