# FINAL TIMESERIES OF TrES-3 b
# BJD_TDB,Orbital Phase,Flux,Uncertainty,Model,Airmass
2457862.746874366, -0.061402355057566554, 1.0050543617026242, 0.017847742287461672, 1.0, 0.8476397450036975
2457862.7486237567, -0.06006304329992779, 0.9942570930994485, 0.017845258962641247, 1.0, 0.8525961863285255
2457862.7507065637, -0.05846847219458562, 1.0033231558598394, 0.017842418980320268, 1.0, 0.8583008646671333
2457862.7527900888, -0.05687335135933316, 1.023194978527724, 0.01783970495644139, 1.0, 0.8637890512537415
2457862.754874285, -0.055277716801123034, 1.0259287109260282, 0.017837104427537213, 1.0, 0.8690814429755833
2457862.7569575435, -0.05368279988643393, 1.0054841174935263, 0.017834615156534783, 1.0, 0.8741785129852103
2457862.7590406286, -0.05208801594791637, 0.9821987805207834, 0.01783223045943898, 1.0, 0.8790901629190903
2457862.761124408, -0.050492700461217066, 0.9870796818793683, 0.017829940164624778, 1.0, 0.8838339778781121
2457862.763208384, -0.04889723417312214, 0.9889521576864054, 0.017827742946819134, 1.0, 0.8884096404700471
2457862.765291307, -0.04730257429816412, 0.97990569821496, 0.01782563353071337, 1.0, 0.8928252783522906
2457862.7673744964, -0.045707710502642745, 1.0087282510967397, 0.017823603497790188, 1.0, 0.8970959628347033
2457862.7694577314, -0.04411281176968221, 0.9661511158171353, 0.017821655543387056, 1.0, 0.9012136397087901
2457862.771541303, -0.042517655283981604, 0.9855680606782673, 0.01781977852262412, 1.0, 0.9051996817630061
2457862.7736245845, -0.04092272090057292, 1.023345581682897, 0.017817972053443053, 1.0, 0.9090529472098318
2457862.7757077855, -0.03932784819243951, 0.9917130797504877, 0.017816232489579264, 1.0, 0.9127793745121235
2457862.777790778, -0.037733135198313755, 1.0107808306158395, 0.017814553535784414, 1.0, 0.9163907981398798
2457862.7798756915, -0.036136951266697775, 1.0274103333754225, 0.017812937932339824, 1.0, 0.9198797680429199
2457862.7819589386, -0.03454204326462071, 1.0134402055261695, 0.017811379709555684, 1.0, 0.9232577069130001
2457862.78404112, -0.03294795094479708, 1.0038024146374154, 0.017809873515351304, 1.0, 0.9265349293262014
2457862.7861245642, -0.03135289214132439, 1.0091483168181503, 0.017808422036320243, 1.0, 0.9297043706871457
2457862.788206978, -0.029758622282269, 0.9911070819151432, 0.017807017757430495, 1.0, 0.9327813115570944
2457862.7902884074, -0.02816510571718281, 0.9887988555618417, 0.01780566098508252, 1.0, 0.9357640637144788
2457862.7923713187, -0.026570454754836825, 0.9664364226231372, 0.017804351817657185, 1.0, 0.9386514183386273
2457862.794454797, -0.02497536957003249, 1.0091192004710345, 0.017803083684433566, 1.0, 0.9414569701677733
2457862.7965355786, -0.023382349259184393, 0.991011940834675, 0.017801865373037514, 0.9998645187118662, 0.9441603853855767
2457862.7986162673, -0.0217893998927281, 1.0219793693412624, 0.01780068012318652, 0.9984858633883672, 0.9467980654137506
2457862.800709561, -0.020186800306464997, 0.9888749337165437, 0.017799524951721116, 0.9962142995335251, 0.9493760686027118
2457862.8027901226, -0.01859394826573213, 0.9938860836125274, 0.017798414155208664, 0.99339894322952, 0.9518618183923222
2457862.8048717026, -0.01700031654969844, 0.9877575927503214, 0.017797338175084314, 0.9902462536499295, 0.9542760097317973
2457862.8069525305, -0.015407260588402194, 0.9673074274179353, 0.01779630267154287, 0.9869406692720641, 0.9566053032587942
2457862.809033624, -0.01381400141955158, 0.989124809601021, 0.01779529197228738, 0.9836356937315713, 0.9588844152518181
2457862.811126119, -0.012212013238474068, 1.0011767337946247, 0.017794308817114825, 0.9804496120776137, 0.9611067502988484
2457862.8132071206, -0.010618824301006274, 0.9751929985115558, 0.017793358740518916, 0.9775293391316393, 0.9632593246080753
2457862.815289395, -0.00902466103679081, 0.9904502089796853, 0.017792440305401804, 0.9749425850559547, 0.965344901713943
2457862.8173705232, -0.007431375130104084, 0.9804395290727267, 0.01779154765286681, 0.9727535848090603, 0.9673763624648083
2457862.8194518606, -0.005837929152905208, 0.962944043742411, 0.01779068720275323, 0.9709954470265812, 0.9693386814188566
2457862.821532966, -0.004244660714938064, 0.9445548448552168, 0.017789847593156844, 0.9696790512639307, 0.971257400868417
2457862.8236260857, -0.0026421944613509996, 0.9825374513528539, 0.017789028330869552, 0.968792201668699, 0.973133370068982
2457862.825707411, -0.0010487577532686254, 0.989714522991239, 0.01778823689074668, 0.9683277810041219, 0.9749491544401415
2457862.827788493, 0.0005444928594744436, 0.960355714027829, 0.01778746951647901, 0.9682651211555999, 0.9767130374503586
2457862.8298696913, 0.002137832241833393, 0.9616579083292653, 0.017786729060737198, 0.9686018758501312, 0.9784181432002159
2457862.831950889, 0.0037311712676878495, 0.9677752216717169, 0.017786005882054628, 0.9693494032194186, 0.980086405693297
2457862.834044136, 0.005333735203502832, 0.9543528233861541, 0.01778529962635463, 0.9705333991438017, 0.981718440478327
