# #x_centroid, y_centroid, amplitude, sigma_x, sigma_y, rotation offset
228.001912 198.001532 3.781652 19.613616 7.591421 0.785398 3760.327417
228.001912 198.001532 3.781652 19.613616 7.591421 0.785398 3760.327417
228.001912 198.001532 3.781652 19.613616 7.591421 0.785398 3760.327417
228.001912 198.001532 3.781652 19.613616 7.591421 0.785398 3760.327417
228.001912 198.001532 3.781652 19.613616 7.591421 0.785398 3760.327417
228.001912 198.001532 3.781652 19.613616 7.591421 0.785398 3760.327417
228.001912 198.001532 3.781652 19.613616 7.591421 0.785398 3760.327417
228.001912 198.001532 3.781652 19.613616 7.591421 0.785398 3760.327417
228.001912 198.001532 3.781652 19.613616 7.591421 0.785398 3760.327417
228.001912 198.001532 3.781652 19.613616 7.591421 0.785398 3760.327417
228.001912 198.001532 3.781652 19.613616 7.591421 0.785398 3760.327417
228.001912 198.001532 3.781652 19.613616 7.591421 0.785398 3760.327417
228.001912 198.001532 3.781652 19.613616 7.591421 0.785398 3760.327417
228.001912 198.001532 3.781652 19.613616 7.591421 0.785398 3760.327417
228.001912 198.001532 3.781652 19.613616 7.591421 0.785398 3760.327417
228.001912 198.001532 3.781652 19.613616 7.591421 0.785398 3760.327417
228.001912 198.001532 3.781652 19.613616 7.591421 0.785398 3760.327417
228.001912 198.001532 3.781652 19.613616 7.591421 0.785398 3760.327417
228.001912 198.001532 3.781652 19.613616 7.591421 0.785398 3760.327417
228.001912 198.001532 3.781652 19.613616 7.591421 0.785398 3760.327417
228.001912 198.001532 3.781652 19.613616 7.591421 0.785398 3760.327417
228.001912 198.001532 3.736779 7.442418 19.984756 -0.636571 3760.390746
228.001912 198.001532 3.742976 7.490007 19.995952 -0.653517 3760.385609
228.001912 198.001532 3.737183 7.450866 19.987114 -0.635833 3760.388976
228.014471 198.002600 270.460185 0.935826 0.721419 0.262781 2206.115698
228.021570 198.005611 5.155935 0.500003 0.500001 0.096997 1123.127418
228.049962 197.987955 292.696628 0.709179 0.836492 -0.785398 612.938124
228.023310 198.014757 327.608695 0.808322 0.674426 -0.056096 354.712237
228.104140 198.014584 0.000001 0.500000 0.500000 -0.779442 216.900624
228.153093 197.827105 0.000000 0.500000 0.500000 -0.735639 136.308533
228.105660 197.867332 319.641465 0.748338 0.725730 0.228560 87.943630
228.082274 198.055724 310.089729 0.816827 0.698487 0.380004 60.690759
228.600232 197.985049 292.521211 0.900538 0.663034 0.097471 47.717229
228.366663 197.593175 241.888247 1.016563 0.712676 0.592688 38.832901
228.030798 198.028972 264.381745 0.789762 0.830481 -0.602278 33.059285
228.009629 198.115880 296.863226 0.811433 0.711998 -0.117054 29.679310
228.130476 198.213967 1.073685 0.507744 0.500000 -0.472264 29.299432
228.020840 197.978079 387.643521 0.654595 0.654607 0.475966 26.825488
228.075078 197.788816 362.232748 0.751927 0.625977 0.120004 26.285579
228.258631 197.823473 24.007051 0.802993 0.648026 0.001060 26.698198
228.059547 197.878769 295.212636 0.832834 0.718526 0.274283 26.123258
228.066139 197.957873 310.393423 0.845748 0.680278 -0.185478 25.831047
228.204115 198.114232 0.000004 0.500000 0.500001 0.736642 26.881894
228.364517 198.309232 379.830808 0.722038 0.622726 -0.381905 25.083502
228.324706 198.030394 324.191071 0.829917 0.663890 0.174675 24.543067
228.289987 197.989938 26.889152 0.586446 0.709853 0.785398 26.505874
228.310902 198.113922 0.000000 0.500000 0.500000 -0.775976 26.836108
228.189718 198.186586 317.282798 0.790663 0.683442 0.706131 25.464342
228.189270 197.865691 23.916223 0.766915 0.637584 0.094046 26.505737
228.319701 197.941327 26.552962 0.735919 0.617128 0.185061 26.471184
228.414390 198.072481 365.280495 0.670279 0.695841 0.785398 24.426563
228.340175 198.086756 2.403237 0.500428 0.500078 -0.780421 25.676004
228.312597 198.131558 0.000000 0.500000 0.500000 0.777364 26.370968
228.283172 197.805920 22.648302 0.831098 0.562115 0.712151 26.771093
228.370769 197.929966 0.000042 0.500000 0.500000 -0.731606 27.532244
228.303376 198.227902 36.604544 0.558648 0.500002 0.353449 28.087770
228.257534 197.922079 19.342912 1.049360 0.552703 0.400776 28.291403
228.305696 198.037902 0.168611 0.500001 0.500001 0.739419 30.227086
228.313763 198.119083 145.266350 1.932476 0.731148 0.292511 27.468138
228.341541 197.799662 331.056341 0.807061 0.636385 -0.016850 26.884344
228.473811 198.044647 97.680089 2.883107 0.734909 0.299973 26.850602
228.504491 198.070890 43.404496 0.845762 5.782462 -0.785398 26.861239
228.462827 198.036578 294.414414 1.080173 0.500000 -0.211601 27.352683
228.340396 197.921043 32.787532 0.570084 0.552599 -0.065854 29.031511
228.295954 197.659605 0.000000 0.500000 0.500000 -0.753190 29.151405
228.289099 197.679208 30.842056 0.727475 0.544079 -0.015303 29.305257
