# FINAL TIMESERIES OF TrES-3 b
# BJD_TDB,Orbital Phase,Flux,Uncertainty,Model,Airmass
2455451.597492672, -0.005901019394472629, 0.9740864397481716, 0.03447682883129267, 0.9638309364729389, 1.0405964442292688
2455451.601659857, -0.002710674337668112, 0.9995052050891964, 0.03447637640624443, 0.9628550631973181, 1.0394556100868104
2455451.603744457, -0.0011147306900725906, 0.9843839315817465, 0.034476113988004674, 0.9626494376963013, 1.0387944631061004
2455451.6058232933, 0.00047680050155674003, 0.9205541319004489, 0.034475828269178735, 0.9626156681787551, 1.038075084162965
2455451.6078914697, 0.002060170592598054, 0.9759548759271158, 0.03447552154234029, 0.9627503613951782, 1.0373033593666245
2455451.609994263, 0.0036700428702815535, 0.9876716297413579, 0.03447518347089392, 0.9630654710446348, 1.0364534282208369
2455451.612074129, 0.005262362293319223, 0.9473713612036316, 0.03447482493761989, 0.9635694679582403, 1.0355528066559627
2455451.6141552096, 0.006855611836548869, 0.9578543555699047, 0.034474440945985216, 0.9642988135335852, 1.034589092211473
2455451.6162353763, 0.008448161561481482, 0.9433688506652983, 0.03447403490617272, 0.9654345124515256, 1.0335710067496264
2455451.6183064235, 0.010033729502650579, 0.9517126520392819, 0.03447360457687448, 0.9674278091168079, 1.032493099397543
2455451.6203994486, 0.011636123385827923, 0.9581142775534863, 0.03447314315092116, 0.9701295881257819, 1.0313385337800824
2455451.6224909225, 0.013237329752577742, 0.9849563923594757, 0.03447265601776862, 0.9733966764935408, 1.030121028609379
2455451.624569804, 0.014828895525141772, 0.9506555878027754, 0.03447214512742865, 0.9770785939038844, 1.0288456721013377
2455451.6266495315, 0.01642110906634847, 0.9820359403281509, 0.034471611912629326, 0.9810488321682114, 1.0275162499560873
2455451.6287333663, 0.018016466977081036, 0.9949576650313058, 0.034471049040878624, 0.9851486605450669, 1.0261147279598155
2455451.630825292, 0.019618019153177846, 1.0128803094670276, 0.0344704563997265, 0.9892013582154388, 1.0246411229326056
2455451.632905458, 0.02121056852160602, 0.9483847424433706, 0.03446983946238107, 0.992967675468246, 1.0231093265694104
2455451.6349865044, 0.022803791683503993, 1.020223155919201, 0.03446919447832862, 0.9962445125644398, 1.0215103121122882
2455451.6370661273, 0.024395925011202413, 1.0320784308506268, 0.034468526590142295, 0.9987494252646373, 1.0198571170745612
2455451.6391472197, 0.025989183467044097, 0.9755718411974209, 0.03446782588878518, 0.9999992485067929, 1.01812554247859
2455451.641238554, 0.02759028288244947, 0.9951561882166696, 0.03446709369682171, 1.0, 1.0163192517720456
2455451.6433187556, 0.02918285934521825, 1.0327845394496402, 0.03446633561169809, 1.0, 1.0144524197932154
2455451.6453981698, 0.030774832958908982, 1.0395905504174978, 0.0344655513187837, 1.0, 1.012524615294263
2455451.647488359, 0.032375055729794655, 1.033919980621087, 0.03446473059762627, 1.0, 1.0105111453157989
2455451.6495682127, 0.033967365883715794, 1.0435603659331985, 0.03446388668971392, 1.0, 1.0084449166816756
2455451.651648252, 0.035559817926420545, 0.9430527727305499, 0.03446300756441652, 1.0, 1.0062969008853488
2455451.6537396093, 0.037160935167050047, 0.9302133282564792, 0.03446209362422514, 1.0, 1.0040686125889409
2455451.655819197, 0.0387530417569123, 1.0063506894549645, 0.03446115028338143, 1.0, 1.0017737551719146
2455451.6578998957, 0.04034599860996274, 1.0242633703527595, 0.03446018042850857, 1.0, 0.9994198001462777
2455451.659991358, 0.04194719606410052, 0.9506925302702152, 0.03445916665719534, 1.0, 0.9969650965001088
2455451.664152095, 0.04513260460335122, 0.981271409251619, 0.0344570495996068, 1.0, 0.9918581342908711
2455451.666222702, 0.046717835291280874, 0.968135811129493, 0.034455949354980246, 1.0, 0.9892142383532724
2455451.6683142446, 0.04831909442069393, 0.9852540922729506, 0.034454794993921393, 1.0, 0.9864477855680389
2455451.6703981026, 0.049914470156650625, 0.9761673850596994, 0.03445361216046862, 1.0, 0.983621027416954
2455451.6724901777, 0.051516136770685894, 1.031840023018088, 0.034452384101927275, 1.0, 0.9806946577625024
2455451.67457105, 0.053109226599907855, 1.0297118317738982, 0.03445112204854337, 1.0, 0.9776962436371206
2455451.6766508804, 0.054701518928604975, 1.0008510906885923, 0.03444982325318245, 1.0, 0.9746199943713963
